"service","lifecycle","accountableOwner","directConsumers","dependencies","readExpressions","writeExpressions"
"server/services/access-control.service.ts","active","","server/routers/apis.ts;server/routers/baggage.ts;server/routers/emergency-hotel.ts;server/routers/modifications.ts;server/routers/multi-city.ts;server/routers/refunds.ts;server/routers/split-payments.ts;server/services/biometric.service.ts;server/services/boarding-pass.service.ts","drizzle/schema.ts;server/db.ts;server/services/rbac.service.ts","bookingModifications;bookings;passengers;paymentSplits",""
"server/services/account-lock.service.ts","active","","server/routers/security.ts","drizzle/schema.ts;server/db.ts;server/services/logger.service.ts","accountLocks;ipBlacklist;loginAttempts;securityEvents","accountLocks;ipBlacklist;loginAttempts;securityEvents"
"server/services/agent-governance.service.ts","active","","server/routers/agent-governance.ts;server/services/intelligence/gateway.ts","drizzle/schema.ts;server/db.ts;server/services/outbox.service.ts","agentDecisions;aiGatewayLog","agentDecisions;aiGatewayLog"
"server/services/ai-chat-booking.service.ts","active","","server/jobs/loyalty-cleanup.job.ts;server/routers/ai-chat.ts","drizzle/schema.ts;server/db.ts;server/services/flights.service.ts;server/services/intelligence/gateway.ts","bookingSuggestions;chatConversations;chatMessages","bookingSuggestions;chatConversations;chatMessages"
"server/services/ai-guardrails.service.ts","active","","server/routers/ai-chat.ts","","",""
"server/services/aircraft-rotation.service.ts","active","","server/routers/aviation-integrations.ts","drizzle/schema.ts;server/db.ts;server/services/aviation-evidence.service.ts;server/services/idempotency-v2.service.ts;server/services/outbox.service.ts;server/services/tenant.service.ts","aircraftRotations;airlines;aviationEvidence;flights","aircraftRotations"
"server/services/analytics.service.ts","active","","server/routers/analytics.ts","drizzle/schema.ts;server/db.ts;server/services/financial-reporting.service.ts","airports;ancillaryServices;bookingAncillaries;bookings;flights",""
"server/services/ancillary-services.service.ts","active","","server/routers/ancillary.ts","drizzle/schema.ts;server/db.ts;server/services/booking-invoice.service.ts;server/services/idempotency-v2.service.ts","ancillaryServices;bookingAncillaries","ancillaryServices;bookingAncillaries"
"server/services/apis.service.ts","active","","server/routers/apis.ts","drizzle/schema.ts;server/db.ts","airlines;airports;bookings;flights;passengers",""
"server/services/apm.service.ts","active","","server/_core/index.ts;server/_core/middleware/apm.middleware.ts;server/routers/metrics.ts","","",""
"server/services/audit.service.ts","active","","server/routers/admin.ts;server/routers/bookings.ts;server/routers/refunds.ts;server/services/gdpr.service.ts","drizzle/schema.ts;server/_core/logger.ts;server/db.ts","auditLogs","auditLogs"
"server/services/auth-service.client.ts","active","","server/routers/auth.ts;server/services/mobile-auth.service.ts","server/_core/logger.ts;server/services/production.service.ts","",""
"server/services/aviation-evidence.service.ts","active","","server/routers/aviation-integrations.ts;server/services/aircraft-rotation.service.ts;server/services/baggage-custody.service.ts;server/services/crew-rule.service.ts;server/services/flight-economics-evidence.service.ts;server/services/operational-events.service.ts;server/services/premium-experiment.service.ts;server/services/travel-clearance.service.ts;server/services/travel-evidence.service.ts","drizzle/schema.ts;server/services/idempotency-v2.service.ts;server/services/outbox.service.ts","aviationEvidence;signature","aviationEvidence"
"server/services/bag-drop.service.ts","active","","server/routers/bag-drop.ts;server/services/cron.service.ts","drizzle/schema.ts;server/db.ts;server/services/demo-capability.ts","airports;bookings;flights;passengers;sessionsTable;tagsTable;unitsTable","sessionsTable;tagsTable;unitsTable"
"server/services/baggage-custody.service.ts","active","","server/routers/aviation-integrations.ts;server/routers/baggage.ts;server/services/irops-recovery.service.ts;server/services/order-servicing.service.ts;server/services/payment-settlement.service.ts","drizzle/schema.ts;server/db.ts;server/services/aviation-evidence.service.ts;server/services/tenant.service.ts","aviationEvidence;baggageCustodyEvents;baggageItems;bookingSegments;bookings;flights","baggageCustodyEvents;baggageItems;baggageTracking"
"server/services/baggage.service.ts","active","","server/routers/baggage.ts","drizzle/schema.ts;server/db.ts","baggageItems;baggageTracking;bookings;passengers","baggageItems;baggageTracking"
"server/services/biometric.service.ts","active","","server/routers/biometric.ts","drizzle/schema.ts;server/db.ts;server/services/access-control.service.ts;server/services/demo-capability.ts","bookings;passengers",""
