"domain","routerFile","literalProcedures","frontendCallSites","frontendFiles"
"aviationIntegrations","server/routers/aviation-integrations.ts","ingestTravelEvidence:publicProcedure;ingestTravelClearance:publicProcedure;clearanceContext:adminProcedure;acceptPremiumPolicy:adminProcedure;pausePremiumPolicy:adminProcedure;premiumResults:adminProcedure;ingestFlightCost:publicProcedure;ingestMaintenance:publicProcedure;assignRotation:adminProcedure;flightEconomics:adminProcedure;acceptCrewRules:adminProcedure;ingestBaggage:publicProcedure;ingestOperations:publicProcedure;departure:adminProcedure","0",""
"operations","server/routers/operations.ts","capabilities:adminProcedure;scheduledTasks:adminProcedure","0",""
"tenants","server/routers/tenants.ts","list:adminProcedure;create:adminProcedure;setStatus:adminProcedure;assignUser:adminProcedure","0",""
"system","server/_core/systemRouter.ts","health:publicProcedure;notifyOwner:adminProcedure","0",""
"auth","server/routers/auth.ts","me:publicProcedure;logoutCookie:publicProcedure;register:publicProcedure;login:publicProcedure;completeMfa:publicProcedure;refreshToken:publicProcedure;logout:publicProcedure;logoutAllDevices:protectedProcedure;getActiveSessions:protectedProcedure;revokeSession:protectedProcedure;verifyToken:publicProcedure","8","client/src/_core/hooks/useAuth.ts;client/src/components/MFAVerify.tsx;client/src/pages/Login.tsx"
"flights","server/routers/flights.ts","statusBatch:publicProcedure;search:publicProcedure;getById:publicProcedure;getStatusHistory:publicProcedure;popularRoutes:publicProcedure;suggestedDestinations:publicProcedure","7","client/src/components/FlightStatusTimeline.tsx;client/src/components/ModifyBookingDialog.tsx;client/src/hooks/useFlightStatus.ts;client/src/pages/BookingPage.tsx;client/src/pages/CheckIn.tsx;client/src/pages/GroupBookingRequest.tsx;client/src/pages/SearchResults.tsx"
"bookings","server/routers/bookings.ts","create:protectedProcedure;myBookings:protectedProcedure;getByPNR:protectedProcedure;getPassengers:protectedProcedure;cancel:protectedProcedure;checkIn:protectedProcedure","10","client/src/components/CancelBookingDialog.tsx;client/src/components/ManageAncillariesDialog.tsx;client/src/components/ModifyBookingDialog.tsx;client/src/pages/BookingPage.tsx;client/src/pages/CheckIn.tsx;client/src/pages/MyBookings.tsx"
"payments","server/routers/payments.ts","settlementReviews:adminProcedure;refundSettlementReview:adminProcedure;expireCheckoutSession:protectedProcedure;getProviders:publicProcedure;createCheckoutSession:protectedProcedure;createModificationCheckout:protectedProcedure;verifySession:protectedProcedure;create:protectedProcedure;getHistory:protectedProcedure;getStats:protectedProcedure;adminGetHistory:adminProcedure;adminGetStats:adminProcedure","5","client/src/components/ModifyBookingDialog.tsx;client/src/components/PaymentMethodSelector.tsx;client/src/pages/BookingPage.tsx;client/src/pages/PaymentHistory.tsx"
"refunds","server/routers/refunds.ts","splitCancellationQueue:adminProcedure;splitCancellation:protectedProcedure;cancelSplitBooking:protectedProcedure;resumeSplitCancellation:protectedProcedure;create:protectedProcedure;adminCreate:adminProcedure;getDetails:protectedProcedure;checkRefundable:protectedProcedure;calculateCancellationFee:protectedProcedure;getCancellationPolicy:protectedProcedure;getStats:adminProcedure;getHistory:adminProcedure;getTrends:adminProcedure","11","client/src/components/CancelBookingDialog.tsx;client/src/components/SplitRefundCancellation.tsx;client/src/pages/admin/RefundsDashboard.tsx"
"admin","server/routers/admin.ts","createFlight:adminProcedure;updateFlightAvailability:airlineAdminProcedure;getAllBookings:airlineAdminProcedure;updateBookingStatus:adminProcedure;updateFlightStatus:adminProcedure;cancelFlightAndRefund:adminProcedure;getMetrics:adminProcedure;getMetricsSummary:adminProcedure;getRealTimeStats:adminProcedure;getMetricsInfo:adminProcedure;flushMetrics:adminProcedure;getAuditLogs:adminProcedure;getAuditLogById:adminProcedure;getAuditLogsForResource:adminProcedure;getAuditLogsForUser:adminProcedure;getHighSeverityEvents:adminProcedure;getAuditLogStats:adminProcedure","1","client/src/pages/AdminDashboard.tsx"
"analytics","server/routers/analytics.ts","getKPIs:adminProcedure;getRevenueOverTime:adminProcedure;getPopularDestinations:adminProcedure;getBookingTrends:adminProcedure;getFlightOccupancy:adminProcedure;getAncillaryMetrics:adminProcedure;getAncillaryRevenueByCategory:adminProcedure;getPopularAncillaries:adminProcedure","12","client/src/pages/AnalyticsDashboard.tsx;client/src/pages/admin/AnalyticsDashboard.tsx"
"reference","server/routers/reference.ts","airlines:publicProcedure;airports:publicProcedure","6","client/src/components/CreatePriceAlertDialog.tsx;client/src/components/TravelRequirements.tsx;client/src/pages/AdminDashboard.tsx;client/src/pages/Home.tsx;client/src/pages/admin/GateManagement.tsx"
"modifications","server/routers/modifications.ts","requestChangeDate:protectedProcedure;requestUpgrade:protectedProcedure;getDetails:protectedProcedure;myModifications:protectedProcedure","2","client/src/components/ModifyBookingDialog.tsx"
